MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
0,0,1,0,1,0,0.333333333,0.666666667,0.619771863,0,0.333333333,0,1,0.057142857,0,1,0,1,0.5,0.75,0.375,0.222222222,0,0,0,0.714285714,0.044444444,16.7,0.33,0.53,3
0.05,0.95,0,1,0,0,0.95,0.05,0.584410646,0,0.666666667,0.333333333,0.333333333,0.085714286,0,0,0,1,0.5,1,0.0375,0.111111111,0.666666667,0.5,0.2,0.428571429,0.111111111,24.13,1.085,0.726,19
0.15,0.85,0,1,0,0,0.85,0.15,0.608745247,0,0.333333333,0.333333333,0.333333333,0.114285714,1,0,0,1,0.5,0.75,0.75,0.333333333,0,0,0.1,0.285714286,0.666666667,22.89,1.123,0.756,19.43
0,0,1,1,0,0,0,1,0.870722433,0,0.333333333,0,1,0.028571429,1,0,0,0,1,1,0.25,0.333333333,0.333333333,0.166666667,0.12,0.714285714,0.055555556,8.74,1.23,0.754,8.11
0,0,1,1,0,0,0,1,0.882129278,0,0.333333333,0,1,0.028571429,1,0,0,0,1,0.25,0.25,0.333333333,0.333333333,0.166666667,0.12,0.714285714,0.055555556,7.23,1.21,0.719,6.27
0.05,0.95,0,1,0,0,0.95,0.05,0.592395437,0,0.666666667,0.333333333,0.333333333,0.085714286,1,1,0,1,1,1,0.0375,0.111111111,0.666666667,0.5,0.2,0.428571429,0.111111111,24.69,1.09,0.748,20.13
0.05,0.95,0,1,0,0,0.95,0.05,0.592395437,0,0.666666667,0.333333333,0.333333333,0.085714286,1,1,0,1,1,1,0.0375,0.111111111,0.666666667,0.5,0.2,0.428571429,0.111111111,24.66,1.08,0.73,19.44
0,1,0,1,0,0,1,0,0.587452471,0,0.666666667,0.333333333,0.333333333,0.085714286,1,1,0,1,1,1,0.0375,0.111111111,0.666666667,0.5,0.2,0.428571429,0.111111111,23.83,1.05,0.715,17.89
0,1,0,1,0,0,1,0,0.587452471,0,0.666666667,0.333333333,0.333333333,0.085714286,1,1,0,1,1,1,0.0375,0.111111111,0.666666667,0.5,0.2,0.428571429,0.111111111,23.89,1.03,0.756,18.65
1,0,0,1,0,0,1,0,0.615209125,1,1,1,0.666666667,0.05,0,0,0,0,0.5,0.75,0.5,0.222222222,0,0,0.35,0.285714286,0.022222222,21.09,1.06,0.78,18.15
0,1,0,0,1,0,1,0,0.524714829,1,1,0.666666667,1,0.028571429,1,0,1,0,0.5,0.75,0.5,0.666666667,0,0,0,0.185714286,0.222222222,24.1,0.525,0.71,9
0,1,0,1,0,0,1,0,0.585551331,1,0.666666667,0.333333333,0.333333333,0.064285714,1,0,1,0,0.5,0.25,0.5,0.333333333,0,0,0,0.428571429,0.111111111,24.75,1.117,0.737,20.33
0,1,0,1,0,0,1,0,0.585551331,1,0.666666667,0.333333333,0.333333333,0.064285714,1,0,1,0,0.5,0.25,0.5,0.333333333,0,0,0,0.428571429,0.111111111,24.9,1.13,0.75,21.18
0,1,0,1,0,0,1,0,0.581749049,1,0.666666667,0.333333333,0.333333333,0.064285714,1,0,1,1,0.5,0.25,0.5,0.111111111,0,0,0,0.428571429,0.222222222,24.81,1.04,0.78,20.23
0,1,0,1,0,0,1,0,0.581749049,1,0.666666667,0.333333333,0.333333333,0.064285714,1,0,1,1,0.5,0.25,0.5,0.111111111,0,0,0,0.428571429,0.222222222,24.7,1.029,0.756,19.27
0,1,0,0,1,0,1,0,0.585551331,1,1,0.666666667,0.666666667,0.063571429,0,0,0,1,0.5,0.5,0.125,0.133333333,0.833333333,0.8,0.08,0.285714286,0.133333333,22.37,0.73,0.72,11.78
0,1,0,0,1,0,1,0,0.585551331,1,1,0.666666667,0.666666667,0.063571429,0,0,0,0,0.5,0.5,0.125,0.133333333,0.833333333,0.8,0.08,0.285714286,0.133333333,22.1,0.53,0.677,7.932
0.17,0.83,0,1,0,0,0.83,0.17,0.608365019,1,0.666666667,0.333333333,0.333333333,0.085714286,0,0,0,0,0.5,0.75,0.75,0.333333333,0,0,0.07,0.285714286,0.555555556,23.23,1.18,0.7335,20.54
0.1,0.9,0,1,0,0,1,0,0.588212928,1,0.666666667,0.333333333,0.666666667,0.028571429,0,0,0,1,1,0.75,0.125,0.111111111,0.666666667,0.5,0.1,0.428571429,0.111111111,23.4,1.05,0.753,18.3
