MA,FA,Cs,Pb,Sn,Other,I,Br,Gap,Po,ETL,HTL,Ne,Area,Add_O,Add_I,Add_H,Passivation,Step,Solvent,Coated_v,Coated_t,Coated_1v,Coated_1t,Coated_2v,Coated_2t,antisolvent,Anneal_T,Anneal_t,Jsc,Voc,FF,PCE
0,1,0,1,0,0,1,0,0.585551331,1,0.666666667,0.333333333,0.333333333,0.064285714,1,0,1,0,0.5,0.25,0.5,0.333333333,0,0,0,0,0,0.428571429,0.111111111,0.766153846,0.708908407,0.881316099,0.84416102
0,1,0,1,0,0,1,0,0.581749049,1,0.666666667,0.333333333,0.333333333,0.064285714,1,0,1,1,0.5,0.25,0.5,0.111111111,0,0,0,0,0,0.428571429,0.222222222,0.763384615,0.652446675,0.916568743,0.80629733
0,1,0,1,0,0,1,0,0.581749049,1,0.666666667,0.333333333,0.333333333,0.064285714,1,0,1,1,0.5,0.25,0.5,0.111111111,0,0,0,0,0,0.428571429,0.222222222,0.76,0.645545797,0.888366627,0.768035074
0,1,0,0,1,0,1,0,0.585551331,1,1,0.666666667,0.666666667,0.063571429,0,0,0,1,0.5,0.5,0.625,0.533333333,0,0,0,0,0.08,0.285714286,0.133333333,0.688307692,0.457967378,0.846063455,0.469509765
0,1,0,0,1,0,1,0,0.585551331,1,1,0.666666667,0.666666667,0.063571429,0,0,0,0,0.5,0.5,0.625,0.533333333,0,0,0,0,0.08,0.285714286,0.133333333,0.68,0.332496863,0.795534665,0.316141889
0.17,0.83,0,1,0,0,0.83,0.17,0.608365019,1,0.666666667,0.333333333,0.333333333,0.085714286,0,0,0,0,0.5,0.75,0.75,0.333333333,0,0,0,0,0.07,0.285714286,0.555555556,0.714769231,0.740276035,0.861927145,0.81865285
0.1,0.9,0,1,0,0,1,0,0.588212928,1,0.666666667,0.333333333,0.666666667,0.028571429,0,0,0,1,1,0.75,0,0,0.166666667,0.166666667,0.666666667,0.6,0.1,0.428571429,0.111111111,0.72,0.658720201,0.884841363,0.729374253
0,0.9,0.1,1,0,0,1,0,0.587452471,1,0.666666667,0.333333333,0.666666667,0.028571429,0,1,1,1,1,0.75,0,0,0.166666667,0.166666667,0.666666667,0.6,0.1,0.428571429,0.111111111,0.744615385,0.677540778,0.89306698,0.793144679
0,0.9,0.1,1,0,0,1,0,0.586311787,1,0.666666667,0.333333333,0.666666667,0.028571429,0,1,1,1,1,0.75,0,0,0.166666667,0.166666667,0.666666667,0.6,0.1,0.428571429,0.111111111,0.756923077,0.683814304,0.908343126,0.825029892
0,0.9,0.1,1,0,0,1,0,0.585171103,1,0.666666667,0.333333333,0.666666667,0.028571429,0,1,1,1,1,0.75,0,0,0.166666667,0.166666667,0.666666667,0.6,0.1,0.428571429,0.111111111,0.701538462,0.652446675,0.773207991,0.621761658
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,0.114285714,1,0,0,1,1,0.75,0,0,0.166666667,0.166666667,0.833333333,1,1,0.171428571,0.666666667,0.729230769,0.17565872,0.646298472,0.191311279
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,0.114285714,1,0,0,1,1,0.75,0,0,0.166666667,0.166666667,0.833333333,1,1,0.171428571,0.666666667,0.753846154,0.181932246,0.646298472,0.159426066
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,0.114285714,1,0,0,1,1,0.75,0,0,0.166666667,0.166666667,0.833333333,1,1,0.171428571,0.666666667,0.643076923,0.163111669,0.587544066,0.111598246
1,0,0,1,0,0,1,0,0.570342205,1,0.666666667,0.333333333,0.666666667,0.060714286,0,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0,0,0.285714286,0.111111111,0.691384615,0.671267252,0.841363102,0.68593065
1,0,0,1,0,0,1,0,0.570342205,1,1,0.333333333,0.666666667,0.060714286,0,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0,0,0.285714286,0.111111111,0.687692308,0.690087829,0.856639248,0.714228776
1,0,0,1,0,0,1,0,0.570342205,1,1,0.333333333,0.666666667,0.060714286,0,0,0,0,0.5,0.75,0.5,0.066666667,0,0,0,0,0,0.285714286,0.111111111,0.699692308,0.734002509,0.858989424,0.775607812
0,1,0,0,1,0,1,0,0.536121673,0,0.333333333,0.333333333,0.333333333,0.142857143,0,1,1,0,0.5,0.25,0.25,0.444444444,0,0,0,0,0,0.2,0.333333333,0.752307692,0.149309912,0.423031727,0.083698685
1,0,0,1,0,0,1,0,0.604562738,0,0.333333333,0.333333333,0.666666667,0.064285714,1,0,0,0,1,1,0,0,0.166666667,0.333333333,0.666666667,0.8,0,0.285714286,0.111111111,0.682461538,0.671267252,0.881316099,0.713033081
1,0,0,0.95,0.05,0,1,0,0.600760456,0,0.333333333,0.333333333,0.666666667,0.064285714,1,0,0,1,1,1,0,0,0.166666667,0.333333333,0.666666667,0.8,0,0.285714286,0.111111111,0.716307692,0.664993726,0.799059929,0.667995217
1,0,0,0.95,0,0.05,0.966666667,0.033333333,0.600760456,0,0.333333333,0.333333333,0.666666667,0.064285714,1,0,0,1,1,1,0,0,0.166666667,0.333333333,0.666666667,0.8,0,0.285714286,0.111111111,0.701846154,0.708908407,0.869565217,0.758070945
