,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
516,0.09439911842346191,0.05725285142545042,0.002599954605102539,0.0004889091397844246,absolute_error,13,sqrt,10,7,"{'criterion': 'absolute_error', 'max_depth': 13, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 7}",-0.026829804559386283,-0.024724184281851976,-0.02335123859286436,-0.02554702021783216,-0.02353621146949176,-0.024797691824285307,0.0012945994132972415,1385
709,0.13106951713562012,0.08880371072888518,0.03149757385253906,0.05694992617892646,absolute_error,20,log2,5,10,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10}",-0.033824208460043685,-0.022901540961865342,-0.020087279926278158,-0.03403110831725824,-0.013467563905037802,-0.02486234031409664,0.008010845805289326,1386
590,0.02479581832885742,0.0025477306614575257,0.0026809215545654298,0.0007115125716046145,absolute_error,15,log2,5,13,"{'criterion': 'absolute_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 13}",-0.031701989319615834,-0.022242265698833016,-0.02119676559896398,-0.020323904907010765,-0.028902014238910662,-0.024873387952666852,0.004560652992982289,1387
693,0.02851591110229492,0.002049361867802105,0.0027036190032958983,0.00039900311637077927,absolute_error,20,sqrt,7,10,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.03271545961960949,-0.02359348705850406,-0.021791929758102336,-0.02518767528023166,-0.021332056703173168,-0.024924121683924143,0.004129371693579156,1388
1062,0.005103063583374023,0.00021572364945631492,0.0023089885711669923,0.0004000626133047332,friedman_mse,20,log2,2,13,"{'criterion': 'friedman_mse', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 13}",-0.03142916232098259,-0.022433915867378244,-0.015227350111423153,-0.037048426583621244,-0.018653827271688288,-0.024958536431018703,0.008109913650226511,1389
950,0.030474424362182617,0.05089336895672835,0.002515220642089844,0.0004497872900342414,friedman_mse,15,log2,5,13,"{'criterion': 'friedman_mse', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 13}",-0.02265308585593465,-0.019899386923430733,-0.0198931726871696,-0.034804444844051236,-0.02756154635274861,-0.024962327332666966,0.005661899102378222,1390
469,0.026145792007446288,0.0016156712040763437,0.023343801498413086,0.04137736358399751,absolute_error,10,log2,5,10,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10}",-0.02701154260360501,-0.023640064199301994,-0.022644073415293172,-0.03005256459457219,-0.0214861774980963,-0.02496688446217373,0.00314057298796408,1391
717,0.09389791488647461,0.08240736116218883,0.004823207855224609,0.004208658039278952,absolute_error,20,log2,10,10,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10}",-0.026671605746653407,-0.032364383608957076,-0.02268655859992627,-0.02535212106364442,-0.01829012608635159,-0.02507295902110655,0.00463681366695736,1392
574,0.14659624099731444,0.09885274597839919,0.002487373352050781,0.0006081270382237679,absolute_error,15,sqrt,7,13,"{'criterion': 'absolute_error', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.02553289665370388,-0.018637527766144267,-0.025858307938141728,-0.03062712917433585,-0.02491582049567331,-0.025114336405599808,0.0038238208418327865,1393
650,0.09886412620544434,0.07936871689441523,0.0028107166290283203,0.0005183641676250125,absolute_error,18,log2,5,13,"{'criterion': 'absolute_error', 'max_depth': 18, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 13}",-0.03763922420237937,-0.025954154990300835,-0.021330467680872142,-0.024555600219642676,-0.016394624666779867,-0.02517481435199498,0.007045893032493614,1394
414,0.02411332130432129,0.0025649288218764638,0.002799654006958008,0.00040073519601677415,absolute_error,7,log2,7,13,"{'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.034310738951763384,-0.02829623948907644,-0.019414043734692164,-0.029922782837802978,-0.014027087200409391,-0.02519417844274887,0.007391996236912026,1395
393,0.02702169418334961,0.0032554949211150513,0.002314186096191406,0.0004072384081433812,absolute_error,7,sqrt,7,10,"{'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 10}",-0.023750146183382604,-0.028575752762521767,-0.022167856441319404,-0.03446029021940822,-0.01703279594434031,-0.02519736831019446,0.005918578203744156,1396
236,0.005798959732055664,0.0011674718068087268,0.002601003646850586,0.0008003603051283088,squared_error,15,log2,10,7,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 7}",-0.031218977917008915,-0.024212350518623988,-0.022903796757869226,-0.02590609704239086,-0.021972388500043214,-0.02524272214718724,0.003267507279603219,1397
405,0.02238354682922363,0.0001967494254423522,0.004048395156860352,0.002767912389437882,absolute_error,7,log2,3,10,"{'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 10}",-0.029860681208309137,-0.024092240074318278,-0.0274464137120129,-0.02578352630402165,-0.01906354206148246,-0.025249280672028883,0.003632628029387371,1398
447,0.063224458694458,0.05854116257500966,0.003598642349243164,0.001357310001262258,absolute_error,10,sqrt,3,15,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 15}",-0.02953903130419022,-0.019404876006206394,-0.02213106183790617,-0.026328349015055832,-0.0293004444837631,-0.025340752529424342,0.0039954172822483725,1399
577,0.026921701431274415,0.001477705069781039,0.002309751510620117,0.0004072767301544737,absolute_error,15,sqrt,10,10,"{'criterion': 'absolute_error', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10}",-0.03278701523080101,-0.018747746236436793,-0.021963750841939345,-0.028065975675046147,-0.025153256272745044,-0.025343548851393664,0.00485346592729736,1400
682,0.06399164199829102,0.05277405217598391,0.002605628967285156,0.0004949182750665938,absolute_error,20,sqrt,2,13,"{'criterion': 'absolute_error', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 13}",-0.023180727169160618,-0.026587091059089466,-0.028990206104305923,-0.029538718269326043,-0.01877704865903215,-0.02541475825218284,0.004005379415219263,1401
478,0.04499850273132324,0.04318003925703679,0.002801036834716797,0.0004008337681368911,absolute_error,10,log2,10,13,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 13}",-0.026090403596070087,-0.029173091665007086,-0.0234715623713195,-0.023497653546402476,-0.024894448504910884,-0.025425431936742005,0.002112014202243583,1402
534,0.0899937629699707,0.0772598805851069,0.002915811538696289,0.0006632820708024885,absolute_error,13,log2,7,13,"{'criterion': 'absolute_error', 'max_depth': 13, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 13}",-0.024713579971345247,-0.028733821176959554,-0.02664950358809228,-0.034216889469789,-0.013111466936988385,-0.02548505222863489,0.006954943718932093,1403
