MA,FA,Cs,Pb,Sn,Other,I,Br,Po,ETL,HTL,Ne,Add_O,Add_I,Add_H,Step,Solvent,Coated1_v,Coated1_t,Coated2_v,Coated2_t,Antisolvent,Anneal_T,Anneal_t,Gap
1,0,0,0,1,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.494296578
1,0,0,0,1,0,0.666666667,0.333333333,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.593155894
1,0,0,0,1,0,0.333333333,0.666666667,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.66539924
1,0,0,0,1,0,0,1,0,0.333333333,0.333333333,0.333333333,0,0,0,0.5,0.25,0.5,0.5,0,0,0,0.357142857,0.333333333,0.817490494
0,1,0,1,0,0,1,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,1,0.75,0.055555556,0.666666667,0.5,0,0.2,0.333333333,0.570342205
0,0,1,1,0,0,0,1,0,0.333333333,0,1,0,0,0,0.5,0.25,0.25,0.111111111,0,0,0,0.714285714,0.055555556,0.882129278
0,0,1,1,0,0,0,1,0,0.333333333,0,1,0,0,0,0.5,0.25,0.25,0.111111111,0,0,0,0.714285714,0.055555556,0.882129278
0.15,0.85,0,1,0,0,0.85,0.15,0,0.333333333,0.333333333,0.333333333,0,0,0,1,0.5,0.625,0.5,0.833333333,0.5,0,0.285714286,0.666666667,0.551330798
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.517110266
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.517110266
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.52851711
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.52851711
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.543726236
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.543726236
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.55513308
0,1,0,0,1,0,1,0,1,1,0.666666667,1,1,1,1,0.5,0.75,1,0.666666667,0,0,1,0.228571429,0.111111111,0.55513308
0.15,0.85,0,1,0,0,0.85,0.15,1,0.666666667,0.333333333,0.666666667,1,0,0,1,0.75,0.1875,0.111111111,0.916666667,0.5,1,0.371428571,0.333333333,0.608365019
0.952,0.048,0,1,0,0,0.968,0.032,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.615969582
0.952,0.048,0,1,0,0,0.968,0.032,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.615969582
1,0,0,1,0,0,1,0,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.6121673
0.952,0.024,0,1,0,0,0.984,0.016,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.6121673
0.928,0.072,0,1,0,0,0.952,0.048,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.619771863
0.904,0.096,0,1,0,0,0.936,0.064,1,0.666666667,0.333333333,0.333333333,1,0,1,1,0.75,0.125,0.055555556,0.666666667,0.2,1,0.385714286,0.033333333,0.619771863
0,0,1,0,1,0,1,0,1,1,0.666666667,0.666666667,1,1,0,0.5,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,0.494296578
