MA_ratio,FA_ratio,Cs_ratio,Pb_ratio,Sn_ratio,other_ratio,I_ratio,Br_ratio,po_electrode,ETL/ETM,HTL/HTM,ne_eletrode,effective area (cm2),additive_O,additive_I,additive_H,passivation,step,dissolvent,coated1_s(rpm),coated1_t (s),coated2_s(rpm),coated2_t (s),anti-solvent,anneal_T (℃),anneal_t (min),,Jsc (mA/cm2),Voc (V),FF,PCE (%)
0.933271115,0,0,0.526315789,0,0,0.824515597,0,0.5,0.333333333,0.333333333,0.333333333,0.028571429,1,0,0,0,1,1,0.75,0.111111111,0.5,0.333333333,0,0.242857143,0.111111111,,0.590769231,0.602258469,0.681551116,0.510163412
0.139990667,0.818882466,0,0.526315789,0,0,0.700838258,0.15,0.5,0.333333333,0.333333333,0.333333333,0.050428571,0,0,0,0,1,0.5,0.625,0.5,0.833333333,0.5,0,0.285714286,0.666666667,,0.710153846,0.671267252,0.728554642,0.616181746
0,0,0.933271115,0.526315789,0,0,0,1,0.5,0.333333333,0.333333333,1,0.028571429,0,0,0,0,1,1,0.25,0.333333333,0.333333333,0.166666667,0.12,0.714285714,0.055555556,,0.268923077,0.771643664,0.886016451,0.323236349
0.139990667,0.818882466,0,0.894736842,0,0,0.700838258,0.15,1,0.666666667,0.666666667,0.666666667,0.064285714,1,0,0,1,1,0.75,0.1875,0.111111111,0.916666667,0.5,0.1,0.371428571,0.333333333,,0.590153846,0.721455458,0.860164512,0.776803507
0.888474102,0.046242775,0,0.526315789,0,0,0.784938848,0.048,1,0.666666667,0.666666667,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.740615385,0.709535759,0.902467685,0.834196891
0.888474102,0.046242775,0,0.526315789,0,0,0.784938848,0.048,1,0.666666667,0.666666667,0.333333333,0.5,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.723076923,0.668130489,0.807285546,0.686329215
0.933271115,0,0,0.526315789,0,0,0.824515597,0,1,0.666666667,0.666666667,0.333333333,1,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.650769231,0.660602258,0.766157462,0.579115185
0.910872608,0.023121387,0,0.526315789,0,0,0.794833036,0.032,1,0.666666667,0.666666667,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.734461538,0.686951066,0.888366627,0.787564767
0.866075595,0.069364162,0,0.526315789,0,0,0.765150474,0.072,1,0.666666667,0.666666667,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.730769231,0.678795483,0.863689777,0.752889597
0.843677088,0.092485549,0,0.526315789,0,0,0.7453621,0.096,1,0.666666667,0.666666667,0.333333333,0.085714286,1,0,1,0,1,0.75,0.125,0.055555556,0.666666667,0.2,0.04,0.385714286,0.033333333,,0.717538462,0.664993726,0.837837838,0.704264647
0,0,0.933271115,0,1,0,0.824515597,0,1,1,1,0.666666667,0.028571429,1,1,0,1,0,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,,0.767384615,0.470514429,0.869565217,0.545237146
0,0,0.933271115,0,1,0,0.824515597,0,1,1,1,0.666666667,0.042857143,0,0,0,1,0,0.75,0.375,0.333333333,0,0,0,0.2,0.088888889,,0.443692308,0.39523212,0.705052879,0.219609406
